UserID,lat,lon,POI_type,timestamp,poi_id
user_0000,35.669594,139.696273,convenience store,2023-01-01 08:10:00,poi_0038
user_0000,35.675542,139.693587,office,2023-01-01 09:10:00,poi_0048
user_0000,35.691484,139.695898,office,2023-01-01 10:00:00,poi_0024
user_0000,35.693441,139.701713,convenience store,2023-01-01 12:00:00,poi_0006
user_0000,35.729584,139.673753,workplace,2023-01-01 14:40:00,poi_0049
user_0000,35.728702,139.674107,workplace,2023-01-01 16:30:00,poi_0049
user_0000,35.729455,139.673523,workplace,2023-01-01 17:30:00,poi_0049
user_0000,35.711826,139.691916,subway,2023-01-01 19:10:00,poi_0013
user_0000,35.700185,139.678099,convenience store,2023-01-01 20:10:00,poi_0008
user_0000,35.699643,139.678578,convenience store,2023-01-01 20:50:00,poi_0008
user_0000,35.699574,139.676991,convenience store,2023-01-01 22:40:00,poi_0008
user_0000,35.668266,139.696256,convenience store,2023-01-02 07:30:00,poi_0038
user_0000,35.668138,139.696541,convenience store,2023-01-02 08:00:00,poi_0038
user_0000,35.69249,139.700535,convenience store,2023-01-02 08:40:00,poi_0006
user_0000,35.696152,139.703443,workplace,2023-01-02 09:10:00,poi_0027
user_0000,35.692661,139.701977,convenience store,2023-01-02 12:10:00,poi_0006
user_0000,35.689942,139.696331,office,2023-01-02 15:00:00,poi_0024
user_0000,35.69268,139.696578,office,2023-01-02 16:50:00,poi_0024
user_0000,35.690662,139.691958,train station,2023-01-02 18:10:00,poi_0012
user_0000,35.698693,139.679012,convenience store,2023-01-02 21:40:00,poi_0008
user_0000,35.710765,139.692532,subway,2023-01-03 08:40:00,poi_0013
user_0000,35.653473,139.665915,convenience store,2023-01-03 08:50:00,poi_0040
user_0000,35.676488,139.693963,office,2023-01-03 10:10:00,poi_0048
user_0000,35.681303,139.698861,convenience store,2023-01-03 12:40:00,poi_0007
user_0000,35.684294,139.700817,office,2023-01-03 13:20:00,poi_0025
user_0000,35.684053,139.700451,office,2023-01-03 14:20:00,poi_0025
user_0000,35.683905,139.700131,office,2023-01-03 17:20:00,poi_0025
user_0000,35.689973,139.691285,train station,2023-01-03 18:50:00,poi_0012
user_0000,35.726854,139.706357,apartment,2023-01-03 20:50:00,poi_0016
user_0000,35.725771,139.706398,apartment,2023-01-03 22:50:00,poi_0016
user_0000,35.670117,139.696117,convenience store,2023-01-04 07:00:00,poi_0038
user_0000,35.675616,139.694828,office,2023-01-04 11:10:00,poi_0048
user_0000,35.680645,139.699209,convenience store,2023-01-04 12:50:00,poi_0007
user_0000,35.682939,139.699809,office,2023-01-04 13:00:00,poi_0025
user_0000,35.684312,139.699927,office,2023-01-04 15:30:00,poi_0025
user_0000,35.729076,139.67321,workplace,2023-01-04 17:30:00,poi_0049
user_0000,35.711617,139.691656,subway,2023-01-04 18:20:00,poi_0013
user_0000,35.712678,139.691406,subway,2023-01-04 18:40:00,poi_0013
user_0000,35.71152,139.692134,subway,2023-01-04 19:30:00,poi_0013
user_0000,35.654071,139.666368,convenience store,2023-01-04 21:20:00,poi_0040
user_0000,35.668649,139.696145,convenience store,2023-01-05 08:10:00,poi_0038
user_0000,35.698836,139.677743,convenience store,2023-01-05 08:30:00,poi_0008
user_0000,35.703867,139.697036,office,2023-01-05 09:30:00,poi_0026
user_0000,35.691149,139.695779,office,2023-01-05 10:50:00,poi_0024
user_0000,35.691568,139.696507,office,2023-01-05 11:20:00,poi_0024
user_0000,35.694061,139.701385,convenience store,2023-01-05 12:30:00,poi_0006
user_0000,35.658813,139.701055,restaurant,2023-01-05 12:40:00,poi_0045
user_0000,35.697003,139.701655,workplace,2023-01-05 15:50:00,poi_0027
user_0000,35.690225,139.690991,train station,2023-01-05 18:30:00,poi_0012
user_0000,35.693383,139.701304,convenience store,2023-01-05 22:00:00,poi_0006
user_0000,35.690697,139.691508,train station,2023-01-06 08:40:00,poi_0012
user_0000,35.691232,139.690476,train station,2023-01-06 08:40:00,poi_0012
user_0000,35.69046,139.695113,office,2023-01-06 10:20:00,poi_0024
user_0000,35.691881,139.69616,office,2023-01-06 11:40:00,poi_0024
user_0000,35.715386,139.696024,cafe,2023-01-06 12:10:00,poi_0005
user_0000,35.714853,139.695343,cafe,2023-01-06 12:30:00,poi_0005
user_0000,35.704764,139.696183,office,2023-01-06 13:50:00,poi_0026
user_0000,35.704515,139.695322,office,2023-01-06 16:10:00,poi_0026
user_0000,35.729225,139.672923,workplace,2023-01-06 17:50:00,poi_0049
user_0000,35.660553,139.708009,supermarket,2023-01-06 19:20:00,poi_0042
user_0000,35.658228,139.718262,apartment,2023-01-06 21:10:00,poi_0017
user_0000,35.658848,139.718267,apartment,2023-01-06 21:10:00,poi_0017
user_0000,35.65858,139.717267,apartment,2023-01-06 22:00:00,poi_0017
user_0000,35.711755,139.692464,subway,2023-01-07 07:30:00,poi_0013
user_0000,35.711562,139.691486,subway,2023-01-07 07:50:00,poi_0013
user_0000,35.712005,139.692499,subway,2023-01-07 08:10:00,poi_0013
user_0000,35.703892,139.69544,office,2023-01-07 09:20:00,poi_0026
user_0000,35.704599,139.695927,office,2023-01-07 09:40:00,poi_0026
user_0000,35.704348,139.695771,office,2023-01-07 11:40:00,poi_0026
user_0000,35.729544,139.682292,convenience store,2023-01-07 12:10:00,poi_0039
user_0000,35.696307,139.702614,workplace,2023-01-07 14:30:00,poi_0027
user_0000,35.697514,139.70263,workplace,2023-01-07 17:50:00,poi_0027
user_0000,35.690938,139.692584,train station,2023-01-07 19:30:00,poi_0012
user_0000,35.693477,139.701361,convenience store,2023-01-07 20:10:00,poi_0006
user_0000,35.653149,139.666282,convenience store,2023-01-07 21:50:00,poi_0040
user_0000,35.653795,139.665866,convenience store,2023-01-07 22:20:00,poi_0040
user_0000,35.653499,139.666504,convenience store,2023-01-08 07:50:00,poi_0040
user_0000,35.729408,139.682825,convenience store,2023-01-08 08:00:00,poi_0039
user_0000,35.72949,139.681845,convenience store,2023-01-08 08:50:00,poi_0039
user_0000,35.729364,139.673729,workplace,2023-01-08 10:00:00,poi_0049
user_0000,35.729189,139.673273,workplace,2023-01-08 10:10:00,poi_0049
user_0000,35.729183,139.672606,workplace,2023-01-08 10:50:00,poi_0049
user_0000,35.72893,139.682312,convenience store,2023-01-08 12:20:00,poi_0039
user_0000,35.729603,139.672142,workplace,2023-01-08 16:30:00,poi_0049
user_0000,35.660892,139.707153,supermarket,2023-01-08 19:40:00,poi_0042
user_0000,35.652369,139.732219,residential,2023-01-08 21:10:00,poi_0050
user_0000,35.652812,139.731602,residential,2023-01-08 21:30:00,poi_0050
user_0000,35.668897,139.696215,convenience store,2023-01-09 07:30:00,poi_0038
user_0000,35.674662,139.693438,office,2023-01-09 09:40:00,poi_0048
user_0000,35.675618,139.693491,office,2023-01-09 10:40:00,poi_0048
user_0000,35.675939,139.693435,office,2023-01-09 10:50:00,poi_0048
user_0000,35.680369,139.699435,convenience store,2023-01-09 12:20:00,poi_0007
user_0000,35.680774,139.697741,convenience store,2023-01-09 12:20:00,poi_0007
user_0000,35.68194,139.699671,office,2023-01-09 13:40:00,poi_0025
user_0000,35.683518,139.699493,office,2023-01-09 17:00:00,poi_0025
user_0000,35.690744,139.690869,train station,2023-01-09 18:00:00,poi_0012
user_0000,35.69013,139.6915,train station,2023-01-09 18:00:00,poi_0012
user_0000,35.694802,139.719374,subway,2023-01-09 19:30:00,poi_0015
user_0000,35.693154,139.701564,convenience store,2023-01-09 22:30:00,poi_0006
user_0000,35.668879,139.696202,convenience store,2023-01-10 07:30:00,poi_0038
user_0000,35.675471,139.693016,office,2023-01-10 09:50:00,poi_0048
user_0000,35.675864,139.692705,office,2023-01-10 10:30:00,poi_0048
user_0000,35.676767,139.69466,office,2023-01-10 10:40:00,poi_0048
user_0000,35.680662,139.698524,convenience store,2023-01-10 12:20:00,poi_0007
user_0000,35.69044,139.696175,office,2023-01-10 13:00:00,poi_0024
user_0000,35.696539,139.702085,workplace,2023-01-10 15:50:00,poi_0027
user_0000,35.729339,139.674242,workplace,2023-01-10 16:30:00,poi_0049
user_0000,35.71183,139.691556,subway,2023-01-10 18:50:00,poi_0013
user_0000,35.707443,139.712132,supermarket,2023-01-10 19:00:00,poi_0009
user_0000,35.660557,139.706804,supermarket,2023-01-10 19:30:00,poi_0042
user_0000,35.699279,139.678048,convenience store,2023-01-10 22:00:00,poi_0008
user_0001,35.711311,139.691741,subway,2023-01-01 08:30:00,poi_0013
user_0001,35.711905,139.692458,subway,2023-01-01 08:50:00,poi_0013
user_0001,35.693298,139.710475,library,2023-01-01 10:00:00,poi_0034
user_0001,35.69432,139.711179,library,2023-01-01 11:00:00,poi_0034
user_0001,35.693691,139.710146,library,2023-01-01 11:50:00,poi_0034
user_0001,35.697061,139.710843,cafe,2023-01-01 12:20:00,poi_0001
user_0001,35.697486,139.711195,cafe,2023-01-01 12:20:00,poi_0001
user_0001,35.697334,139.709176,cafe,2023-01-01 12:40:00,poi_0001
user_0001,35.693966,139.709071,library,2023-01-01 13:40:00,poi_0034
user_0001,35.694137,139.710649,library,2023-01-01 13:40:00,poi_0034
user_0001,35.694228,139.710735,library,2023-01-01 13:50:00,poi_0034
user_0001,35.692951,139.703148,convenience store,2023-01-01 18:30:00,poi_0006
user_0001,35.697393,139.710169,cafe,2023-01-01 19:30:00,poi_0001
user_0001,35.697267,139.710959,cafe,2023-01-01 20:10:00,poi_0001
user_0001,35.697762,139.71032,cafe,2023-01-01 21:50:00,poi_0001
user_0001,35.711222,139.691982,subway,2023-01-02 08:00:00,poi_0013
user_0001,35.712406,139.692692,subway,2023-01-02 08:50:00,poi_0013
user_0001,35.694246,139.709744,library,2023-01-02 09:20:00,poi_0034
user_0001,35.709613,139.71947,school,2023-01-02 10:00:00,poi_0033
user_0001,35.696804,139.710682,cafe,2023-01-02 12:10:00,poi_0001
user_0001,35.69761,139.710345,cafe,2023-01-02 12:50:00,poi_0001
